ID,CREATE_DATE,ACTIVATION_DATE,APN,DATA_USAGE_LIMIT,DEVICE_ID,DEVICE_IP_ADDRESS,DYNAMIC_IMSI,DONOR_IMSI,ICCID,IMEI,IMSI,IN_SESSION,MODEM_ID,MSISDN,SESSION_START_TIME,SMS_USAGE_LIMIT,STATE,STATUS,VOICE_USAGE_LIMIT,SUBSCRIBER_NAME,SUBSCRIBER_LAST_NAME,SUBSCRIBER_GENDER,SUBSCRIBER_DOB,ALTERNATE_CONTACT_NUMBER,SUBSCRIBER_EMAIL,SUBSCRIBER_ADDRESS,CUSTOM_PARAM_1,CUSTOM_PARAM_2,CUSTOM_PARAM_3,CUSTOM_PARAM_4,CUSTOM_PARAM_5,SERVICE_PLAN_ID,LOCATION_COVERAGE_ID,NEXT_LOCATION_COVERAGE_ID,BILLING_CYCLE,RATE_PLAN_ID,NEXT_RATE_PLAN_ID,MNO_ACCOUNTID,ENT_ACCOUNTID,TOTAL_DATA_USAGE,TOTAL_DATA_DOWNLOAD,TOTAL_DATA_UPLOAD,DATA_USAGE_THRESHOLD,IP_ADDRESS,LAST_KNOWN_LOCATION,LAST_KNOWN_NETWORK,STATE_MODIFIED_DATE,USAGES_NOTIFICATION,BSS_ID,GOUP_ID,LOCK_REFERENCE,SIM_POOL_ID,WHOLESALE_PLAN_ID,PROFILE_STATE,EUICC_ID,OPERATIONAL_PROFILE_DATA_PLAN,BOOTSTRAP_PROFILE,CURRENT_IMEI,ASSETS_EXTENDED_ID,DEVICE_PLAN_ID,DEVICE_PLAN_DATE,COUNTRIES_ID,DONOR_ICCID,Error_Message,EXT_METADATA
1,2017-01-24,2017-01-24,,,,,,,89430103117024093768,352255069669038,232010850411971,0,,43688875399757,,,A,A,,,,,,,,,,,,,,57361,,,1,,,,35572,0.0,0,0,0,10.219.92.195,,,2017-01-24,0,,,,,,,,,,352255069669038,3579,,2017-01-24,Austria,89430103117024093768,invalid device plan and account id is not mapping to device plan,
2,2015-04-20,2015-04-20,,,,,,,89423053015110099407,358709055351120,295057240236940,0,,423660488940,,,A,A,,,,,,,,,,,,,,57359,,,1,,,,35572,0.0,0,0,0,10.250.97.7,,,2015-04-20,0,,,,,,,,,,358709055351120,3580,,2015-04-20,Austria,89423053015110099407,invalid device plan and account id is not mapping to device plan,
3,2017-01-24,2017-01-24,,,,,,,89423053317024080626,864475045511796,295057240328097,0,,423660590094,,,A,A,,,,,,,,,,,,,,57362,,,1,,,,35572,0.0,0,0,0,10.250.196.46,,,2017-01-24,0,,,,,,,,,,864475045511796,3581,,2017-01-24,Austria,89423053317024080626,invalid device plan and account id is not mapping to device plan,
4,2017-01-24,2017-01-24,,,,,,,89430103117024093768,352255069669038,232010850411971,0,,43688875399757,,,A,A,,,,,,,,,,,,,,57361,,,1,,,,35572,0.0,0,0,0,10.219.92.195,,,2017-01-24,0,,,,,,,,,,352255069669038,3579,,2017-01-24,Austria,89430103117024093768,Existing Duplicate records failed,
5,2015-04-20,2015-04-20,,,,,,,89423053015110099407,358709055351120,295057240236940,0,,423660488940,,,A,A,,,,,,,,,,,,,,57359,,,1,,,,35572,0.0,0,0,0,10.250.97.7,,,2015-04-20,0,,,,,,,,,,358709055351120,3580,,2015-04-20,Austria,89423053015110099407,Existing Duplicate records failed,
6,2017-01-24,2017-01-24,,,,,,,89423053317024080626,864475045511796,295057240328097,0,,423660590094,,,A,A,,,,,,,,,,,,,,57362,,,1,,,,35572,0.0,0,0,0,10.250.196.46,,,2017-01-24,0,,,,,,,,,,864475045511796,3581,,2017-01-24,Austria,89423053317024080626,Existing Duplicate records failed,
7,2017-01-24,2017-01-24,,,,,,,89430103117024093768,352255069669038,232010850411971,0,,43688875399757,,,A,A,,,,,,,,,,,,,,57361,,,1,,,,35572,0.0,0,0,0,10.219.92.195,,,2017-01-24,0,,,,,,,,,,352255069669038,3579,,2017-01-24,Austria,89430103117024093768,Existing Duplicate records failed,
8,2015-04-20,2015-04-20,,,,,,,89423053015110099407,358709055351120,295057240236940,0,,423660488940,,,A,A,,,,,,,,,,,,,,57359,,,1,,,,35572,0.0,0,0,0,10.250.97.7,,,2015-04-20,0,,,,,,,,,,358709055351120,3580,,2015-04-20,Austria,89423053015110099407,Existing Duplicate records failed,
9,2017-01-24,2017-01-24,,,,,,,89423053317024080626,864475045511796,295057240328097,0,,423660590094,,,A,A,,,,,,,,,,,,,,57362,,,1,,,,35572,0.0,0,0,0,10.250.196.46,,,2017-01-24,0,,,,,,,,,,864475045511796,3581,,2017-01-24,Austria,89423053317024080626,Existing Duplicate records failed,
10,2017-01-24,2017-01-24,,,,,,,89430103117024093768,352255069669038,232010850411971,0,,43688875399757,,,A,A,,,,,,,,,,,,,,57361,,,1,,,,35572,0.0,0,0,0,10.219.92.195,,,2017-01-24,0,,,,,,,,,,352255069669038,3579,,2017-01-24,Austria,89430103117024093768,Existing Duplicate records failed,
11,2015-04-20,2015-04-20,,,,,,,89423053015110099407,358709055351120,295057240236940,0,,423660488940,,,A,A,,,,,,,,,,,,,,57359,,,1,,,,35572,0.0,0,0,0,10.250.97.7,,,2015-04-20,0,,,,,,,,,,358709055351120,3580,,2015-04-20,Austria,89423053015110099407,Existing Duplicate records failed,
12,2017-01-24,2017-01-24,,,,,,,89423053317024080626,864475045511796,295057240328097,0,,423660590094,,,A,A,,,,,,,,,,,,,,57362,,,1,,,,35572,0.0,0,0,0,10.250.196.46,,,2017-01-24,0,,,,,,,,,,864475045511796,3581,,2017-01-24,Austria,89423053317024080626,Existing Duplicate records failed,
